,area,category,country,create_date,location,price,state,subarea,text,title,url,pred_bin,pred_class
0,atlanta,cell phones,US,2015-03-20 00:00:00, (smyrna),99.0,GA,all atlanta,"
        We customize your iPhone 5/5s, and make it look like a mini 6, for $100",Make your iPhone 5/5s look like iPhone 6,http://atlanta.craigslist.org/atl/mob/4910933994.html,1,6
1,atlanta,cell phones,US,2015-03-20 00:00:00, (Lavista),480.0,GA,all atlanta,"
        I HAVE A FLIP PHONE SO PLEASE CALL ONLY ",IPHONE 6 16GB BLACK & GREY NEW IN THE BOX SPRINT CLEAN ESN,http://atlanta.craigslist.org/atl/mob/4924087372.html,1,6
2,atlanta,cell phones,US,2015-03-20 00:00:00,,475.0,GA,all atlanta,"
        Silver iPhone 5S 64GB $475. 
 ",iPhone 5S 64GB Factory Unlocked for Sale,http://atlanta.craigslist.org/nat/mod/4907455253.html,1,5s
3,atlanta,cell phones,US,2015-03-20 00:00:00, (snellville),300.0,GA,all atlanta,"
        I phone 5 Tmobile 300 bucks. Perfect condition kept in otter box at all times. Great phone!! Can text images for some reason my phone is not letting me add the images.
    ",T mobile iPhone 5 16gb,http://atlanta.craigslist.org/eat/mob/4940892483.html,1,5
4,atlanta,cell phones,US,2015-03-20 00:00:00, (Kennesaw),450.0,GA,all atlanta,"
        iPhone 5 S good conditions, 32 g AT&T. Call or text ",iPhone 5 S,http://atlanta.craigslist.org/nat/mob/4940974264.html,1,5s
5,atlanta,cell phones,US,2015-03-20 00:00:00, (Duluth),550.0,GA,all atlanta,"
        SG iPhone 6 T-Mobile 16GB $550. 
 ",iPhone 6 16GB T-Mobile for Sale,http://atlanta.craigslist.org/nat/mob/4917650346.html,1,6
6,atlanta,cell phones,US,2015-03-20 00:00:00, (gainesville),175.0,GA,all atlanta,"
        AT&T iphone 5 32g great shape, comes with Otterbox case and belt clip. has been reset so it can be set up right away. Email for fastest response, no phone calls, no shipping",AT&T iphone 5 32g,http://atlanta.craigslist.org/nat/mob/4941005525.html,1,5
7,atlanta,cell phones,US,2015-03-20 00:00:00,,200.0,GA,all atlanta,"
        Used iPhone 5 for sale",iPhone 5 16gb att factory reset,http://atlanta.craigslist.org/nat/mob/4940969016.html,1,5
8,atlanta,cell phones,US,2015-03-20 00:00:00, (Atlanta- GA),175.0,GA,all atlanta,"
        IPHONE 5 UNLOCKED EXCELLENT CONDITION!",IPHONE 5 WHITE UNLOCKED EXCELLENT CONDITION! - (BROWARD COUNTY),http://atlanta.craigslist.org/atl/mob/4941007420.html,1,5
9,atlanta,cell phones,US,2015-03-20 00:00:00, (Norcross),550.0,GA,all atlanta,"
        I have iphone 6 gold and in good condition has some scratchs ",iPhone 6 Gold Verizon unlocked,http://atlanta.craigslist.org/atl/mob/4940954507.html,1,6
10,atlanta,cell phones,US,2015-03-20 00:00:00,,500.0,GA,all atlanta,"
        64 gbs. Space grey.
    ",AT&T iPhone 6.,http://atlanta.craigslist.org/atl/mob/4925794643.html,1,6
11,atlanta,cell phones,US,2015-03-20 00:00:00, (Atlanta),130.0,GA,all atlanta,"
        ",iPhone 6 Cracked Screen Fix,http://atlanta.craigslist.org/atl/mod/4940891955.html,-1,-1
12,atlanta,cell phones,US,2015-03-20 00:00:00,,250.0,GA,all atlanta,"
        iPhone 5s Verizon white/silver . Call or text for pictures  at ",iPhone 5s verizon,http://atlanta.craigslist.org/atl/mob/4940563865.html,1,5s
13,atlanta,cell phones,US,2015-03-20 00:00:00, (atlanta),90.0,GA,all atlanta,"
        Have 1 ipnone 6 plus 16gb gray At&t ",Gray iphone 6 plus 16gb,http://atlanta.craigslist.org/atl/mod/4936168615.html,1,6+
14,atlanta,cell phones,US,2015-03-20 00:00:00, (atlanta),80.0,GA,all atlanta,"
        this is a iphone 6 plus 64gb.",Iphone 6 plus 64gb,http://atlanta.craigslist.org/atl/mod/4940501762.html,1,6+
15,atlanta,cell phones,US,2015-03-20 00:00:00, (Kennesaw),250.0,GA,all atlanta,"
        Perfect condition iPhone 5 that has been in a life proof case since day 1. Comes with the original box and a charger. It has been restored to the original factory settings. Ready to go. Let me know any questions or concerns.",AT&T iphone 5 32gb,http://atlanta.craigslist.org/nat/mob/4930103174.html,1,5
16,atlanta,cell phones,US,2015-03-20 00:00:00, (Dunwoody),600.0,GA,all atlanta,"
        Hi,",iPhone 6 AT&T Like New Condition in Box!!!,http://atlanta.craigslist.org/atl/mob/4901973853.html,1,6
17,atlanta,cell phones,US,2015-03-20 00:00:00, (Marietta),300.0,GA,all atlanta,"
        iPhone 5 32GB White Factory Unlocked for sale or trade",iPhone 5 32GB White Factory Unlocked for sale or trade,http://atlanta.craigslist.org/atl/mob/4940575280.html,1,-1
18,atlanta,cell phones,US,2015-03-20 00:00:00, (Marietta),300.0,GA,all atlanta,"
        iPhone 5 32GB White Factory Unlocked for sale or trade",iPhone 5 32GB White Factory Unlocked for sale or trade,http://atlanta.craigslist.org/atl/mob/4940572465.html,1,-1
19,atlanta,cell phones,US,2015-03-20 00:00:00, (Alpharetta),125.0,GA,all atlanta,"
        Mint iPhone 4s",iPhone 4s - 16gb - Verizon,http://atlanta.craigslist.org/atl/mob/4940591714.html,1,4s
20,atlanta,cell phones,US,2015-03-20 00:00:00, (Atlanta),65.0,GA,all atlanta,"
        VERIZON IPHONE 4 8gb in good condition clean imei Im asking $65 but will take the best offer ! IF YOU HAVE $65 I WILL BRING IT IMMEDIATELY NO WAIT!!  If you want it call if no answer text ",VERIZON IPHONE 4 8gb,http://atlanta.craigslist.org/atl/mob/4930355001.html,1,4
21,atlanta,cell phones,US,2015-03-20 00:00:00, (Atlanta),65.0,GA,all atlanta,"
        Iphone 4 Sprint 8gb In great condition and the Esn is very Clean. If you want it you can have it. Call now Im asking $65 but will take the best offer. If you come with $65 there is no wait you can get it now. Call now if no answer please leave text ",Iphone 4 Sprint 8gb,http://atlanta.craigslist.org/atl/mob/4930225754.html,1,4s
22,atlanta,cell phones,US,2015-03-20 00:00:00, (Alpharetta Roswell),225.0,GA,all atlanta,"
        iPhone 5C white 16gb",iPhone 5C white 16gb - factory unlocked,http://atlanta.craigslist.org/nat/mob/4940640118.html,1,5c
23,atlanta,cell phones,US,2015-03-20 00:00:00, (Henry county),350.0,GA,all atlanta,"
        I have a mint condition iPhone 5s. It is space grey 16gb with a case and screen protector. It has had a case and screen protector since day one. So there isn't a single dent or ding on this phone. It can be unlocked from Att at no cost. if you have any questions TEXT ME 
 ",iPhone 5s Att,http://atlanta.craigslist.org/atl/mob/4940651595.html,1,5s
24,atlanta,cell phones,US,2015-03-20 00:00:00, (Atlanta/Decatur),350.0,GA,all atlanta,"
        Excellent condition. No cracks or scratches. ",AT&T(Can be unlocked) iPhone 5S Space Gray 16GB,http://atlanta.craigslist.org/atl/mob/4940672757.html,1,5s
25,atlanta,cell phones,US,2015-03-20 00:00:00, (Brookhaven),225.0,GA,all atlanta,"
        White 16gb IPhone 5.  ATT network.  Excellent condition.  Always in otterbox.  Includes original box, charger and earbuds.  Cash only.
    ",IPhone 5 | ATT | White | 16gb,http://atlanta.craigslist.org/nat/mob/4940656495.html,1,5
26,atlanta,cell phones,US,2015-03-20 00:00:00, (alpharetta),380.0,GA,all atlanta,"
        ",Sprint Apple iPhone 5s,http://atlanta.craigslist.org/nat/mob/4940688820.html,1,5s
27,atlanta,cell phones,US,2015-03-20 00:00:00, (Roswell),270.0,GA,all atlanta,"
        I am selling my iphone 5 - comes with the original box.  16 GB memory.",Iphone 5 16 gb. AT&T,http://atlanta.craigslist.org/atl/mob/4936732158.html,1,5
28,atlanta,cell phones,US,2015-03-20 00:00:00,,350.0,GA,all atlanta,"
        I am selling an iPhone 5s for $350. There are no problems with this phone, everything has been kept in great condition with a solid proof case. If you want to buy the case too, I'll just add on a couple bucks just so you keep your phone protected. There is a ballistic glass screen protector on here that has kept this phone clear of any damages to the real screen. You are welcome to remove the glass screen if you'd like, but I'll just keep it on here for safety. I'm accepting cash only and willing to meet in a public location for the exchange. Feel free to ask any questions. Serious inquiries only.
    ",IPHONE 5S AT&T Verizon T-Mobile,http://atlanta.craigslist.org/atl/mob/4940694730.html,1,5s
29,atlanta,cell phones,US,2015-03-20 00:00:00, (Duluth),650.0,GA,all atlanta,"
        I have new iPhone 6 plus 16G , it's factory unlocked so can use with any SIM card. Looking to trade for iPhone 6 unlocked too. Come with box and unused accessories . Text me at ",Trade iPhone 6 plus for iPhone 6,http://atlanta.craigslist.org/atl/mob/4940689352.html,-1,-1
30,atlanta,cell phones,US,2015-03-20 00:00:00," (Woodstock, GA)",125.0,GA,all atlanta,"
        iPhone 4 in good condition.  Off/On button slightly sticks, but works fine.  If interested, I will meet at Publix at Trickum and Hwy 92.  No refunds; sold as is.
    ",iPhone 4 (8GB),http://atlanta.craigslist.org/nat/mob/4940687396.html,1,4
31,atlanta,cell phones,US,2015-03-20 00:00:00, (Decatur),350.0,GA,all atlanta,"
        Here you have a brand-new 16GB iPhone 5s. This phone is factory unlocked. Which means you have the pleasure of using it with ANY carrier. I've decided to sell it because I want to upgrade. My asking price is ~$350~ If interested, please call 
 ",Great Deal... Great Price... Factory Unlocked IPHONE 5S!,http://atlanta.craigslist.org/eat/mob/4940559063.html,1,5s
32,atlanta,cell phones,US,2015-03-20 00:00:00, (Georgia),120.0,GA,all atlanta,"
        Please visit page",Fast Apple iPhone 4S 64GB,http://atlanta.craigslist.org/atl/mod/4940555307.html,1,4s
33,atlanta,cell phones,US,2015-03-20 00:00:00, (MORROW GA),320.0,GA,all atlanta,"
        IPHONE 5C 8GB FACTORY UNLOCKED BRAND NEW SEALED (WHITE/GREEN)",IPHONE 5C 8GB FACTORY UNLOCKED BRAND NEW (WHITE/GREEN),http://atlanta.craigslist.org/atl/mob/4940709842.html,1,5c
34,atlanta,cell phones,US,2015-03-20 00:00:00," (Atlanta, Georgia)",110.0,GA,all atlanta,"
        I jus got a new iPhone 6 and don't need this phone any more. I'm selling a black iPhone 4s for sprint for $110 or best offer",Black Sprint iPhone 4s $110 OBO,http://atlanta.craigslist.org/atl/mob/4918691000.html,1,4s
35,atlanta,cell phones,US,2015-03-20 00:00:00, (Norcross),349.0,GA,all atlanta,"
        We have for sale an iPhone 5s 16GB Gold. This phone is for T Mobile or Metro PCS. Comes with usb cable and charger only. ",Apple iPhone 5S 16GB Gold Good Condition Used T mobile Metro PCS,http://atlanta.craigslist.org/nat/mod/4940630315.html,1,5s
36,atlanta,cell phones,US,2015-03-20 00:00:00, (Roswell),290.0,GA,all atlanta,"
        iPhone 5s 16gb white for At&t.  Please call or text ",iPhone 5s 16gb At&t Cricket H2O Straight Talk Net 10,http://atlanta.craigslist.org/atl/mob/4940594366.html,1,5s
37,atlanta,cell phones,US,2015-03-20 00:00:00, (Gwinnett),325.0,GA,all atlanta,"
        Iphone 5s for $325.00 firm.",IPhone 5s unlocked 32 gb,http://atlanta.craigslist.org/atl/mob/4927873216.html,1,5s
38,atlanta,cell phones,US,2015-03-19 00:00:00, (GWINNETT),600.0,GA,all atlanta,"
        BRAND NEW IPHONE 6",BRAND NEW IPHONE 6 AT&T SPACE GREY,http://atlanta.craigslist.org/nat/mob/4923306964.html,1,6
39,atlanta,cell phones,US,2015-03-19 00:00:00,,500.0,GA,all atlanta,"
        iPhone for sale
    ",iPhone 6 for sale,http://atlanta.craigslist.org/atl/mob/4939969275.html,-1,-1
40,atlanta,cell phones,US,2015-03-19 00:00:00, (Atlanta),70.0,GA,all atlanta,"
        ",iPhone 5 / 5C / 5S Cracked Screen Fix,http://atlanta.craigslist.org/atl/mod/4939816324.html,-1,-1
41,atlanta,cell phones,US,2015-03-19 00:00:00, (smyrna),290.0,GA,all atlanta,"
        I am selling an iPhone 5S. This is white in color, 16GB and has a brand new look. Call me on ",iPhone 5S,http://atlanta.craigslist.org/atl/mob/4939960882.html,1,5s
42,atlanta,cell phones,US,2015-03-19 00:00:00,,165.0,GA,all atlanta,"
        I am selling my iphone 6 plus, unlock can use any carrier.",IPHONE 6 PLUS,http://atlanta.craigslist.org/atl/mod/4939840737.html,1,6+
43,atlanta,cell phones,US,2015-03-19 00:00:00," (Decatur, Ga)",65.0,GA,all atlanta,"
        Phone is in EXCELLENT condition. CLEAN ESN, NO ICLOUD LOCK, READY TO BE ACTIVATED. Black. No scratches or dents. Comes with charger & phone case w/ screen protector. . If interested contact me anytime by email or text. @ ",IPhone 4 8gb Sprint,http://atlanta.craigslist.org/eat/mob/4928138710.html,1,4
44,atlanta,cell phones,US,2015-03-19 00:00:00, (Dahlonega),225.0,GA,all atlanta,"
        iPhone 5 16gb, white/silver in perfect condition. No scratches. No blemishes. Everything works. Has been in an Otter Box with screen protector since day 1. ",iPhone 5 AT&T - Perfect condition,http://atlanta.craigslist.org/nat/mob/4939981407.html,1,5
45,atlanta,cell phones,US,2015-03-19 00:00:00,,130.0,GA,all atlanta,"
        Iphone 5. 16gb. Black color verizon great condition text samonsmith78 (AT)gmail
    ",****** iphone 5 Black. 16gb. Verizon ****,http://atlanta.craigslist.org/atl/mob/4918142660.html,1,5
46,atlanta,cell phones,US,2015-03-19 00:00:00," (Decatur, Ga)",65.0,GA,all atlanta,"
        Phone is in EXCELLENT condition. CLEAN ESN, NO ICLOUD LOCK, READY TO BE ACTIVATED. Black. No scratches or dents. Comes with charger & phone case w/ screen protector. . If interested contact me anytime by email or text. @ ",IPhone 4 8gb Sprint,http://atlanta.craigslist.org/eat/mob/4939986196.html,1,4
47,atlanta,cell phones,US,2015-03-19 00:00:00,,140.0,GA,all atlanta,"
        ",16 gb Iphone 5s gold,http://atlanta.craigslist.org/atl/mob/4918135647.html,1,5s
48,atlanta,cell phones,US,2015-03-19 00:00:00, (Norcross),625.0,GA,all atlanta,"
        Space grey iPhone 6 128GB AT&T Perfect condition text if interested ",iPhone 6 AT&T,http://atlanta.craigslist.org/atl/mob/4939981011.html,1,6
49,atlanta,cell phones,US,2015-03-19 00:00:00, (doraville),190.0,GA,all atlanta,"
        no icloud locked",iphone 5 whithe 16Gb by sprint,http://atlanta.craigslist.org/atl/mob/4913378396.html,1,5
50,atlanta,cell phones,US,2015-03-19 00:00:00,,750.0,GA,all atlanta,"
        This is a brand new iPhone 6+ 64GB in exclusive Gold for AT&T. The iPhone is brand new and has never been activated. The only reason it was opened was to take pictures. Perfect for activating and not having a contract.",iPhone 6+ 64GB Gold for AT&T,http://atlanta.craigslist.org/atl/mob/4940004901.html,1,6
51,atlanta,cell phones,US,2015-03-19 00:00:00, (Doraville),230.0,GA,all atlanta,"
        in mint condition...",Iphone 5C Green By Sprint 16Gb,http://atlanta.craigslist.org/atl/mob/4927206684.html,1,5c
52,atlanta,cell phones,US,2015-03-19 00:00:00, (doraville),230.0,GA,all atlanta,"
        in mint condition...",Iphone 5c pink 16gb by sprint,http://atlanta.craigslist.org/atl/mob/4913372810.html,1,5c
53,atlanta,cell phones,US,2015-03-19 00:00:00, (Gwinnett),100.0,GA,all atlanta,"
        Top of screen has crack text for photos . Trying to sell today or tomorrow. Sprint provider
    ",Custom gold iPhone 5 sprint,http://atlanta.craigslist.org/nat/mob/4940042596.html,1,5s
54,atlanta,cell phones,US,2015-03-19 00:00:00, (Atlanta),130.0,GA,all atlanta,"
        ",iPhone 6 Cracked Screen Fix,http://atlanta.craigslist.org/atl/mod/4939904296.html,-1,-1
55,atlanta,cell phones,US,2015-03-19 00:00:00, (Marietta),530.0,GA,all atlanta,"
        Mint, mint, mint! This phone was essentially unboxed and then put back in. Comes with everything. Absolutely no signs of use whatsoever. Clean ESN and no iCloud lock. Buy with confidence. Ready for activation. For those that want to get on a pre-paid plan, Sprint now offers unlimited talk, text, and 1GB of data for only $35 per month pre-paid. Or you can get 3GB for $45, or 6GB for $55. Thanks for looking! Will meet only at police station or in the presence of a police officer (no funny stuff). Asking $600 firm! 4zero4-8six7-5two5two
    ",iPhone 6 16GB Sprint,http://atlanta.craigslist.org/nat/mob/4913416307.html,1,6
56,atlanta,cell phones,US,2015-03-19 00:00:00, (covington),250.0,GA,all atlanta,"
        Like new condition. Will provide imei and pictures upon request. ",iPhone 5s iOS 8.1.3 metro pcs T-Mobile unlocked gold,http://atlanta.craigslist.org/eat/mob/4940112269.html,1,5s
57,atlanta,cell phones,US,2015-03-19 00:00:00, (Conyers GA),300.0,GA,all atlanta,"
        iPhone 5S ",iPhone 5S,http://atlanta.craigslist.org/eat/mob/4940153777.html,1,5s
58,atlanta,cell phones,US,2015-03-19 00:00:00, (Norcross Retail Store),260.0,GA,all atlanta,"
        We have for sale a good condition iPhone 5 16gb. This phone is AT&T but unlocked to work on any other GSM carrier such as Metro PCS and T-Mobile. ",Apple Iphone 5 16gb White Unlocked Metro PCS AT&T,http://atlanta.craigslist.org/nat/mod/4939662730.html,1,5
59,atlanta,cell phones,US,2015-03-19 00:00:00, (Williamson),360.0,GA,all atlanta,"
        iPhone 5s 32 gb gold for sale. I bought it new and moved down to the area and switched carrier. I got it unlocked. Still has sprint SIM card in it. Is unlocked and should work on other carriers. Nothing wrong with it and has no scratches. Comes with a new charger and headphones. Do not have original box but comes with a box with accessories(headphones and charger) used slightly been in case since I got it. asking 360 obo
    ",iPhone 5s 32gb gold,http://atlanta.craigslist.org/atl/mob/4940134581.html,1,5s
60,atlanta,cell phones,US,2015-03-19 00:00:00," (Marietta,Buckhead)",444.0,GA,all atlanta,"
        I'm looking to buy iPhone 6 or 5s also 5c with Verizon/Sprint. Ready to pay cash. Feel free to offer 5 or 6 plus. Contact me @77O -309 -9749.",WTB iPhone 6 Today,http://atlanta.craigslist.org/atl/mob/4913728124.html,-1,-1
61,atlanta,cell phones,US,2015-03-19 00:00:00, (N. Atlanta),280.0,GA,all atlanta,"
        I am selling my Unlocked iPhone 5 16gb white. This phone is almost brand new. Used it for only a few days. It has absolutely no scratches or marks on the entire phone. The pictures show that the phone has no iCloud lock and it also shows the new condition of the phone. ",Unlocked !! iPhone 5 white !! EXCELLENT New condition !! MUST SEE !!,http://atlanta.craigslist.org/atl/mob/4939432850.html,1,5
62,atlanta,cell phones,US,2015-03-19 00:00:00, (NORCROSS),225.0,GA,all atlanta,"
        GOOD CONDITION IPHONE 5 - SLATE GREY - 16 GB ",VERIZON IPHONE 5 - SLATE GRAY - 16GB,http://atlanta.craigslist.org/eat/mod/4939419245.html,1,5s
63,atlanta,cell phones,US,2015-03-19 00:00:00, (smyrna),129.0,GA,all atlanta,"
        1869 Cobb Pkwy S Suite 300 Marietta, GA 30060",iphone 6 Screen LCD FOR SALE,http://atlanta.craigslist.org/nat/mob/4935592303.html,-1,-1
64,atlanta,cell phones,US,2015-03-19 00:00:00,,100.0,GA,all atlanta,"
        I have an iPhone 5 16GB with T-Mobile that has a shocked screen it is easily fixable. The phone is like new expect this minor problem. The price is negationable !! It is unlocked!! No charger or box or head phones come with this. ",iPhone 5 T mobile,http://atlanta.craigslist.org/atl/mob/4939367639.html,1,5
65,atlanta,cell phones,US,2015-03-19 00:00:00, (Norcross Retail Store),360.0,GA,all atlanta,"
        We have unlocked iPhones for sale. They are space grey and come with USB Cable and charger, no earpiece or original box.",Excellent Iphone 5S 16gb 32gb 64gb Unlocked any Carrier,http://atlanta.craigslist.org/nat/mod/4939227985.html,1,5s
66,atlanta,cell phones,US,2015-03-19 00:00:00, (Westend),330.0,GA,all atlanta,"
        The phone is a sprint black iPhone 6 16g with a grey back it is in good condition I bought it about a month ago from sprint! I hate sprint tho and AT&T are not offering me enough because they said it's almost useless because it doesn't have a sim! Price is 330 Trying to get rid of it asap so text or email me 313817816seven. You can observe and use the phone it works just fine before our exchange! And has never been dropped I will be coming with a few friends because I do not want anything going wrong! Will meet in a PUBLIC location only and I check for fake money because I am a server! Help me help you help me! Let me know if you're interested
    ",Iphone 6 sprint,http://atlanta.craigslist.org/atl/mob/4939289650.html,1,6
67,atlanta,cell phones,US,2015-03-19 00:00:00, (Loganville),650.0,GA,all atlanta,"
        Selling this for a friend, it's a sprint iPhone 6 64gb in silver.  This phone is new and will included is the original box, charger and lightning cable, and the apple headphones which have never been used. ",Sprint Apple iPhone 6 64gb Silver (new),http://atlanta.craigslist.org/eat/mob/4939376954.html,1,6
68,atlanta,cell phones,US,2015-03-19 00:00:00, (old national hwy),330.0,GA,all atlanta,"
        Apple iPhone 5s (Tmobile) 16gb .... $330",Apple iPhone 5s (Tmobile) 16gb GOLD & WHITE,http://atlanta.craigslist.org/sat/mob/4932129888.html,1,5s
69,atlanta,cell phones,US,2015-03-19 00:00:00, (Gwinnett),310.0,GA,all atlanta,"
        Iphone 5s for At&t for $310.   Excellent condition.  ",Iphone 5s AT&T,http://atlanta.craigslist.org/nat/mob/4919760180.html,1,5s
70,atlanta,cell phones,US,2015-03-19 00:00:00, (Candler Park),300.0,GA,all atlanta,"
        Good condition 32GB iPhone 5s for sale. Comes with original box, no charger. Please contact me for more information.
    ",Verizon iphone 5s 32GB,http://atlanta.craigslist.org/atl/mob/4939422787.html,1,5s
71,atlanta,cell phones,US,2015-03-19 00:00:00, (kennesaw),200.0,GA,all atlanta,"
        i have 4 unlocked verizon brand new in box Iphone 5c in different colors. 200 each or you can buy all four to total 725. First come first serve.
    ","Iphone 5c in white, yellow, green, and pink",http://atlanta.craigslist.org/nat/mob/4939410318.html,1,5c
